src,dst,channel,mean_rssi,pdr,tx_count,,,,,,,
13,22,12,-87.36,0.38,100,,,,,,,
14,1,12,-87.67,0.28,100,,,,,,,
14,21,12,-86.48,0.56,100,,,,,,,
14,33,12,-88.06,0.19,100,,,,,,,
14,22,12,-68.59,1,100,,,,,,,
14,13,12,-67.31,1,100,,,,,,,
14,6,12,-62.41,1,100,,,,,,,
14,43,12,-63.21,1,100,,,,,,,
14,26,12,-85.49,0.89,100,,,,,,,
14,47,12,-62.39,1,100,,,,,,,
14,30,12,-88.52,0.12,100,,,,,,,
14,49,12,-89.05,0.07,100,,,,,,,
15,24,12,-82.93,0.57,100,,,,,,,
15,47,12,-69.08,0.87,100,,,,,,,
15,2,12,-61.54,0.99,100,,,,,,,
15,27,12,-74.24,0.98,100,,,,,,,
15,21,12,-57.31,1,100,,,,,,,
15,22,12,-88.29,0.15,100,,,,,,,
16,19,12,-71.38,1,100,,,,,,,
16,31,12,-75.17,1,100,,,,,,,
16,46,12,-79.06,1,100,,,,,,,
16,40,12,-86.09,0.99,100,,,,,,,
16,5,12,-51.38,1,100,,,,,,,
16,26,12,-87.5,0.33,100,,,,,,,
17,20,12,-59.39,1,100,,,,,,,
17,40,12,-77.39,1,100,,,,,,,
17,11,12,-59.07,1,100,,,,,,,
17,7,12,-68.38,1,100,,,,,,,
17,48,12,-78.86,0.76,100,,,,,,,
17,44,12,-68.1,1,100,,,,,,,
18,7,12,-65.9,1,100,,,,,,,
18,0,12,-68.87,0.62,100,,,,,,,
18,12,12,-84.61,0.62,100,,,,,,,
18,35,12,-84.19,0.62,100,,,,,,,
18,48,12,-62.4,1,100,,,,,,,
18,20,12,-86.79,0.57,100,,,,,,,
19,26,12,-66.96,1,100,,,,,,,
19,1,12,-87.01,0.54,100,,,,,,,
19,31,12,-84.79,1,100,,,,,,,
19,46,12,-62.87,1,100,,,,,,,
19,16,12,-72.19,1,100,,,,,,,
19,5,12,-63.48,1,100,,,,,,,
19,44,12,-86.41,0.81,100,,,,,,,
19,30,12,-87.22,0.44,100,,,,,,,
19,40,12,-88.17,0.17,100,,,,,,,
19,22,12,-90.31,0.02,100,,,,,,,
20,7,12,-55.64,1,100,,,,,,,
20,11,12,-82.24,1,100,,,,,,,
20,17,12,-59.17,1,100,,,,,,,
20,18,12,-86.7,0.65,100,,,,,,,
20,48,12,-68.23,0.99,100,,,,,,,
20,44,12,-87.27,0.4,100,,,,,,,
20,0,12,-87.02,0.52,100,,,,,,,
20,41,12,-89.61,0.04,100,,,,,,,
21,26,12,-86.96,0.57,100,,,,,,,
21,27,12,-76.02,0.55,100,,,,,,,
21,24,12,-86.02,0.52,100,,,,,,,
21,15,12,-56.27,1,100,,,,,,,
21,1,12,-86.92,0.59,100,,,,,,,
21,22,12,-86.19,0.88,100,,,,,,,
21,46,12,-88.23,0.16,100,,,,,,,
21,2,12,-65.92,0.59,100,,,,,,,
21,14,12,-86.78,0.54,100,,,,,,,
21,6,12,-78.59,0.53,100,,,,,,,
21,47,12,-51.92,1,100,,,,,,,
21,30,12,-87.57,0.31,100,,,,,,,
22,21,12,-86.67,0.51,100,,,,,,,
22,14,12,-69.31,1,100,,,,,,,
22,13,12,-87.67,0.28,100,,,,,,,
22,46,12,-80.43,1,100,,,,,,,
22,30,12,-68.87,1,100,,,,,,,
22,26,12,-68.18,1,100,,,,,,,
22,6,12,-62.54,1,100,,,,,,,
22,47,12,-62.25,1,100,,,,,,,
22,1,12,-81.16,1,100,,,,,,,
22,31,12,-91,0.01,100,,,,,,,
22,19,12,-88.6,0.11,100,,,,,,,
23,4,12,-84.16,0.76,100,,,,,,,
23,9,12,-65.17,1,100,,,,,,,
23,32,12,-83,0.93,100,,,,,,,
24,27,12,-53.39,1,100,,,,,,,
24,4,12,-79.03,0.99,100,,,,,,,
24,21,12,-85.96,0.58,100,,,,,,,
24,32,12,-77.85,0.98,100,,,,,,,
24,2,12,-67.44,0.62,100,,,,,,,
